"ID_fish","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"GO/O",4,"10","E",0.184548759523792,-0.637915120259405,1.27359696673822,43.4514393863931,31,12,0.0007273814510711,12.9397848391274,"fulton4",0.0235701540195342,-0.961486953186512,-0.087831169848871,2.13538873093507
"GR/G",4,"3","E",-1.17542385451686,-0.571002065690091,-0.381133478168439,10.27122263748,6,8,0.005692904629686,3.20341697810998,"fulton4",0.0254621872992244,-0.184143900443184,0.965424554958286,-0.186860513505299
"GR/R",4,"4","E",-1.07634488632527,0.377879688880585,0.106571057236383,14.0634441087613,5,19,-0.000409115388391799,2.35448136958711,"fulton4",0.026054294094795,0.059123545726835,-0.328897772366159,-0.389342599598619
"O/GO",4,"9","E",-0.647495119726397,-0.147035158585105,1.24277602414729,23,23,0,-0.0048912361824891,-5.38288288288284,"fulton4",0.0269338766049921,0.420500568507432,-1.27961720632055,-2.23480371464123
"O/OB",4,"9","E",-1.21074292387571,0.224139325959816,2.16677753641888,25.2446689113356,23,4,0.0000703295397347023,2.24017957351293,"fulton4",0.0242251029189631,-0.692400789460943,-0.227200912415169,-0.416605051404101
"O/OO",4,"10","E",0.0188583508958454,-0.881356828304771,0.760340013790179,14.8943560057887,12,12,0.0023998652257283,3.50820067534974,"fulton4",0.0242277354539906,-0.69131921080337,0.266925629573854,-0.114165672807404
"OB/B",4,"10","E",0.568391466287446,-0.0548010713398666,0.681303610653411,15.9811798769453,12,10,-0.0041744838941035,2.80464378184248,"fulton4",0.0295265922281649,1.48571939898301,-1.12758419311018,-0.281973061321308
"OB/O",4,"8","E",-1.21074292387571,0.845990535642722,-0.128346604932604,7.2969327540367,6,3,-0.0015092659760802,0.206268696272441,"fulton4",0.0300888073460942,1.71670583075506,-0.562254835247898,-0.901719014367825
"OG/B",4,"7","E",1.06269948767815,-0.0692693779536499,-0.30868308665052,13.6417752729834,11,1,0.008122807708955,-1.82341199953035,"fulton4",0.0256006388707512,-0.127260985949536,1.48084040076258,-1.38582402452823
"OG/G",4,"7","E",-0.410653798218625,-0.200294586865289,-0.0686816602258968,6.67653962221974,5,2,-0.0028782217397719,0.572010481477338,"fulton4",0.0275441435923277,0.671229140787939,-0.852629171093457,-0.814484883891618
"OG/O",4,"8","E",-0.778963052744191,-0.731137847565664,0.741731759555051,30.4387889425186,30,1,0.000807544456063,10.5549726233856,"fulton4",0.0248436098033211,-0.438286850350771,-0.0708274945283954,1.5665802753392
"OO/B",4,"7","E",0.485268872105884,0.179992130648867,1.1604466152011,14.5884782378481,13,3,0.000944053525362698,4.66118347511973,"fulton4",0.0258589651002828,-0.0211274934664396,-0.0418720444063984,0.160835587810415
"OO/G",4,"8","E",-0.957797415668221,-0.793808256747108,0.985778026089135,9,9,0,0.0046653865961194,2.28391480898318,"fulton4",0.024897548686538,-0.416126026547368,0.747473855250043,-0.406173633962198
"OO/O",4,"8","E",-1.36589407184662,-0.837182403215919,0.969801902522568,6.73616018845701,6,2,-0.0031602174650382,0.84732037691402,"fulton4",0.029835082321568,1.61246274621753,-0.912444340880002,-0.748819924864691
"R/BG",4,"6","E",-0.477778012817109,-0.300336940013025,0.112867136535368,15.5335689045936,12,8,0.0066913642835197,0.517744661238285,"fulton4",0.0262186070396867,0.126631621593383,1.17721157287382,-0.827427981548561
"R/BR",4,"6","E",0.401925541867092,-0.273290572722607,0.16954037764741,17.7420718816068,4,26,0.0051154922227514,2.11416490486258,"fulton4",0.0223628716570092,-1.45749966463418,0.842947446040995,-0.44666117430732
"R/GB",4,"7","E",-0.219064636697889,-1.13934666744212,0.00183016421215439,15.916590284143,15,4,-0.0022977920911824,6.87442713107241,"fulton4",0.0282244799736578,0.950745767283052,-0.729512063744615,0.68872273024029
"R/GG",4,"8","E",-1.83894811682188,-0.665742639023289,1.77868038649248,8.77893566763929,6,4,-0.0039102634444849,2.08420175072947,"fulton4",0.0286320626289073,1.11820135534161,-1.07153940363655,-0.453807772817146
