"ID_fish","before_exp","trial","cage","treatment","exploration","dens_tot","dens_ces","dens_bs2","name","after_exp"
"BR/B",NA,3,"1","E",0.2351165,9.79519145146928,5.34283170080142,4.45235975066785,"z_exploration",-0.707898572548923
"BR/B",NA,4,"1","E",0.2972973,9.79519145146928,5.34283170080142,4.45235975066785,"z_exploration",0.175837878183257
"BR/G",-1.12376100581279,1,"C1","C",0.2058559,0,0,0,"z_exploration",NA
"BR/G",-0.110603883946478,2,"C1","C",0.2771429,0,0,0,"z_exploration",NA
"BR/G",NA,3,"C1","E",0.2532355,4.13793103448276,0,4.13793103448276,"z_exploration",-0.450384665509831
"BR/G",NA,4,"C1","E",0.3344262,4.13793103448276,0,4.13793103448276,"z_exploration",0.703527491465654
"BR/R",-0.22893180137213,1,"1","C",0.2688172,0,0,0,"z_exploration",NA
"BR/R",-0.166883442447726,2,"1","C",0.273183,0,0,0,"z_exploration",NA
"BR/R",NA,3,"1","E",0.2946506,5.54156171284635,2.51889168765743,3.02267002518892,"z_exploration",0.138222002154759
"BR/R",NA,4,"1","E",0.2733717,5.54156171284635,2.51889168765743,3.02267002518892,"z_exploration",-0.164201568488993
"G/BB",-0.0334548833625437,1,"C2","C",0.2825712,0,0,0,"z_exploration",NA
"G/BB",0.944074672845313,2,"C2","C",0.3513514,0,0,0,"z_exploration",NA
"G/BB",NA,3,"C2","E",0.3775046,1.05263157894737,0,1.05263157894737,"z_exploration",1.31577359185711
"G/BB",NA,4,"C2","E",0.3984157,1.05263157894737,0,1.05263157894737,"z_exploration",1.61296985332216
"G/BG",-0.14426019407724,1,"5","C",0.2747748,0,0,0,"z_exploration",NA
"G/BG",0.694734299000005,2,"5","C",0.3338075,0,0,0,"z_exploration",NA
"G/BG",NA,3,"5","E",0.2462335,3.50109409190372,1.75054704595186,1.75054704595186,"z_exploration",-0.549899670592216
"G/BG",NA,4,"5","E",0.3578154,3.50109409190372,1.75054704595186,1.75054704595186,"z_exploration",1.03594342360974
"G/BR",-0.0290248880634611,1,"5","C",0.2828829,0,0,0,"z_exploration",NA
"G/BR",-0.585659411278846,2,"5","C",0.2437174,0,0,0,"z_exploration",NA
"G/BR",NA,3,"5","E",0.2336066,6.86378035902851,0,6.86378035902851,"z_exploration",-0.729357827929371
"G/BR",NA,4,"5","E",0.3147541,6.86378035902851,0,6.86378035902851,"z_exploration",0.423940354721699
"G/GB",-1.29650381897665,1,"7","C",0.1937015,0,0,0,"z_exploration",NA
"G/GB",0.188641801073678,2,"7","C",0.2981982,0,0,0,"z_exploration",NA
"G/GB",NA,3,"7","E",0.2786885,3.86428626632661,1.9321431331633,1.9321431331633,"z_exploration",-0.0886372470062706
"G/GB",NA,4,"7","E",0.3693918,3.86428626632661,1.9321431331633,1.9321431331633,"z_exploration",1.20047148771082
"G/GG",1.41005276033962,1,"6","C",0.3841382,0,0,0,"z_exploration",NA
"G/GG",-0.608383567466539,2,"6","C",0.2421185,0,0,0,"z_exploration",NA
"G/GG",NA,3,"6","E",0.2873406,5.19649236765183,1.6239038648912,3.57258850276064,"z_exploration",0.0343295875371881
"G/GG",NA,4,"6","E",0.2849462,5.19649236765183,1.6239038648912,3.57258850276064,"z_exploration",0.000299492111700635
"G/OG",-0.0837709319905308,1,"9","C",0.2790309,0,0,0,"z_exploration",NA
"G/OG",-0.872935439446619,2,"9","C",0.2235043,0,0,0,"z_exploration",NA
"G/OG",NA,3,"9","E",0.2656578,4.8348106365834,0.8058017727639,4.0290088638195,"z_exploration",-0.273834358792478
"G/OG",NA,4,"9","E",0.3305556,4.8348106365834,0.8058017727639,4.0290088638195,"z_exploration",0.648517097482239
"G/OO",-0.0273236675395592,1,"10","C",0.2830026,0,0,0,"z_exploration",NA
"G/OO",0.242454092382365,2,"10","C",0.3019845,0,0,0,"z_exploration",NA
"G/OO",NA,3,"10","E",0.3378871,10.2021888332406,2.78241513633834,7.41977369690224,"z_exploration",0.752715078025155
"G/OO",NA,4,"10","E",0.4233333,10.2021888332406,2.78241513633834,7.41977369690224,"z_exploration",1.96710796966618
"G/RB",-0.761794716832473,1,"5","C",0.2313243,0,0,0,"z_exploration",NA
"G/RB",-0.321428738829595,2,"5","C",0.262309,0,0,0,"z_exploration",NA
"G/RB",NA,3,"5","E",0.2680549,5.45723863724955,3.50822483823185,1.9490137990177,"z_exploration",-0.239765889971716
"G/RB",NA,4,"5","E",0.3559719,5.45723863724955,3.50822483823185,1.9490137990177,"z_exploration",1.00974292205742
"G/RG",-2.89080966807383,1,"C2","C",0.08152415,0,0,0,"z_exploration",NA
"G/RG",-0.374881457212178,2,"C2","C",0.258548,0,0,0,"z_exploration",NA
"G/RG",NA,3,"C2","E",0.3481481,5.02828409805154,0,5.02828409805154,"z_exploration",0.898548192442514
"G/RG",NA,4,"C2","E",0.3912037,5.02828409805154,0,5.02828409805154,"z_exploration",1.51047025082942
"G/RR",-3.38240526575963,1,"3","C",0.04693487,0,0,0,"z_exploration",NA
"G/RR",-2.35517889382459,2,"3","C",0.1192118,0,0,0,"z_exploration",NA
"G/RR",NA,3,"3","E",0.2441294,9.15415598681802,7.68949102892713,1.46466495789088,"z_exploration",-0.579803915407104
"G/RR",NA,4,"3","E",0.2871194,9.15415598681802,7.68949102892713,1.46466495789088,"z_exploration",0.0311858115982819
"GB/B",0.131408592637979,1,"3","C",0.2941712,0,0,0,"z_exploration",NA
"GB/B",0.00547990047395829,2,"3","C",0.2853107,0,0,0,"z_exploration",NA
"GB/B",NA,3,"3","E",0.3287317,6.87466948704389,1.05764145954521,5.81702802749868,"z_exploration",0.622595158354881
"GB/B",NA,4,"3","E",0.3180328,6.87466948704389,1.05764145954521,5.81702802749868,"z_exploration",0.470538447718502
"GB/G",-2.2992347472228,1,"4","C",0.1231481,0,0,0,"z_exploration",NA
"GB/G",-1.66778915806159,2,"4","C",0.1675774,0,0,0,"z_exploration",NA
"GB/G",NA,3,"4","E",0.2433132,8.28025477707006,3.82165605095541,4.45859872611465,"z_exploration",-0.591404050675347
"GB/G",NA,4,"4","E",0.1944202,8.28025477707006,3.82165605095541,4.45859872611465,"z_exploration",-1.28628938964893
"GB/R",-1.22292922910083,1,"C1","C",0.1988783,0,0,0,"z_exploration",NA
"GB/R",-0.817475934614788,2,"C1","C",0.2274065,0,0,0,"z_exploration",NA
"GB/R",NA,3,"C1","E",0.2246345,1.03448275862069,0,1.03448275862069,"z_exploration",-0.856872620431465
"GB/R",NA,4,"C1","E",0.3051002,1.03448275862069,0,1.03448275862069,"z_exploration",0.286735569293988
"GG/B",-0.352282369868348,1,"C2","C",0.2601381,0,0,0,"z_exploration",NA
"GG/B",0.707411731809701,2,"C2","C",0.3346995,0,0,0,"z_exploration",NA
"GG/B",NA,3,"C2","E",0.3319209,0.557413600891862,0,0.557413600891862,"z_exploration",0.667921244360128
"GG/B",NA,4,"C2","E",0.4256121,0.557413600891862,0,0.557413600891862,"z_exploration",1.99949511527911
"GG/G",0.965947508152624,1,"4","C",0.3528904,0,0,0,"z_exploration",NA
"GG/G",0.169642706701479,2,"4","C",0.2968614,0,0,0,"z_exploration",NA
"GG/G",NA,3,"4","E",0.2088285,11.142061281337,9.15240748109829,1.98965380023876,"z_exploration",-1.0815133188508
"GG/G",NA,4,"4","E",0.2303943,11.142061281337,9.15240748109829,1.98965380023876,"z_exploration",-0.775012219649757
"GG/R",-0.882443514053891,1,"4","C",0.2228353,0,0,0,"z_exploration",NA
"GG/R",-0.456889666627542,2,"4","C",0.2527778,0,0,0,"z_exploration",NA
"GG/R",NA,3,"4","E",0.209752,8.37598883201489,6.51465798045603,1.86133085155886,"z_exploration",-1.06838819642955
"GG/R",NA,4,"4","E",0.2412178,8.37598883201489,6.51465798045603,1.86133085155886,"z_exploration",-0.621184647883235
"GO/B",0.112867136535368,1,"9","C",0.2928666,0,0,0,"z_exploration",NA
"GO/B",0.977483687762075,2,"9","C",0.3537021,0,0,0,"z_exploration",NA
"GO/B",NA,3,"9","E",0.2882883,9.53389830508475,0,9.53389830508475,"z_exploration",0.0477986492790583
"GO/B",NA,4,"9","E",0.3960784,9.53389830508475,0,9.53389830508475,"z_exploration",1.57975128414491
"GO/O",-0.0579797466544843,1,"10","C",0.2808456,0,0,0,"z_exploration",NA
"GO/O",-1.07884281478696,2,"10","C",0.2090164,0,0,0,"z_exploration",NA
"GO/O",NA,3,"10","E",0.2907679,25.4009363482419,12.4514393863931,12.9494969618488,"z_exploration",0.0830396385110325
"GO/O",NA,4,"10","E",0.374537,25.4009363482419,12.4514393863931,12.9494969618488,"z_exploration",1.27359696673822
"GR/B",-1.00170376286106,1,"C2","C",0.214444,0,0,0,"z_exploration",NA
"GR/B",1.19338662195338,2,"C2","C",0.3688933,0,0,0,"z_exploration",NA
"GR/B",NA,3,"C2","E",0.3247674,1.05429625724829,0,1.05429625724829,"z_exploration",0.566253065431702
"GR/B",NA,4,"C2","E",0.3375706,1.05429625724829,0,1.05429625724829,"z_exploration",0.748216863356692
"GR/G",0.150484433800728,1,"3","C",0.2955134,0,0,0,"z_exploration",NA
"GR/G",1.29041019881655,2,"3","C",0.37572,0,0,0,"z_exploration",NA
"GR/G",NA,3,"3","E",0.2689625,7.47463961558996,4.27122263747998,3.20341697810998,"z_exploration",-0.226866744211537
"GR/G",NA,4,"3","E",0.2581081,7.47463961558996,4.27122263747998,3.20341697810998,"z_exploration",-0.381133478168439
"GR/R",-1.19533733666054,1,"4","C",0.2008197,0,0,0,"z_exploration",NA
"GR/R",-0.379874262308642,2,"4","C",0.2581967,0,0,0,"z_exploration",NA
"GR/R",NA,3,"4","E",0.2348361,11.4803625377643,9.06344410876133,2.41691842900302,"z_exploration",-0.711883720710178
"GR/R",NA,4,"4","E",0.2924236,11.4803625377643,9.06344410876133,2.41691842900302,"z_exploration",0.106571057236383
"O/BO",0.305942164248049,1,"C1","C",0.3064516,0,0,0,"z_exploration",NA
"O/BO",-0.727865529224194,2,"C1","C",0.2337116,0,0,0,"z_exploration",NA
"O/BO",NA,3,"C1","E",0.3333333,3.44827586206897,0,3.44827586206897,"z_exploration",0.687994793800053
"O/BO",NA,4,"C1","E",0.4018735,3.44827586206897,0,3.44827586206897,"z_exploration",1.66211338153893
"O/GO",-0.214682480592981,1,"9","C",0.2698198,0,0,0,"z_exploration",NA
"O/GO",1.05555649230636,2,"9","C",0.3591954,0,0,0,"z_exploration",NA
"O/GO",NA,3,"9","E",0.3355735,0.563063063063063,0,0.563063063063063,"z_exploration",0.719833341984224
"O/GO",NA,4,"9","E",0.3723684,0.563063063063063,0,0.563063063063063,"z_exploration",1.24277602414729
"O/OB",-1.37796343096325,1,"9","C",0.1879699,0,0,0,"z_exploration",NA
"O/OB",0.109019848349735,2,"9","C",0.2925959,0,0,0,"z_exploration",NA
"O/OB",NA,3,"9","E",0.3424408,6.17283950617284,2.24466891133558,3.92817059483726,"z_exploration",0.817433941013395
"O/OB",NA,4,"9","E",0.4373823,6.17283950617284,2.24466891133558,3.92817059483726,"z_exploration",2.16677753641888
"O/OO",0.0136719097469502,1,"10","C",0.2858871,0,0,0,"z_exploration",NA
"O/OO",-0.548485539914453,2,"10","C",0.246333,0,0,0,"z_exploration",NA
"O/OO",NA,3,"10","E",0.3189815,6.5123010130246,2.89435600578871,3.61794500723589,"z_exploration",0.484021721828993
"O/OO",NA,4,"10","E",0.3384236,6.5123010130246,2.89435600578871,3.61794500723589,"z_exploration",0.760340013790179
"OB/B",1.04565473508829,1,"10","C",0.3584987,0,0,0,"z_exploration",NA
"OB/B",-0.591404050675347,2,"10","C",0.2433132,0,0,0,"z_exploration",NA
"OB/B",NA,3,"10","E",0.3057156,6.87658342381469,3.98117987694535,2.89540354686934,"z_exploration",0.295481860943188
"OB/B",NA,4,"10","E",0.3328625,6.87658342381469,3.98117987694535,2.89540354686934,"z_exploration",0.681303610653411
"OB/O",-0.793903300020438,1,"8","C",0.2290651,0,0,0,"z_exploration",NA
"OB/O",0.0624913959591743,2,"8","C",0.2893221,0,0,0,"z_exploration",NA
"OB/O",NA,3,"8","E",0.2497843,1.94539913105505,1.2969327540367,0.648466377018352,"z_exploration",-0.499434392093711
"OB/O",NA,4,"8","E",0.2758945,1.94539913105505,1.2969327540367,0.648466377018352,"z_exploration",-0.128346604932604
"OG/B",-0.140456964234331,1,"7","C",0.2750424,0,0,0,"z_exploration",NA
"OG/B",0.384172726084021,2,"7","C",0.311956,0,0,0,"z_exploration",NA
"OG/B",NA,3,"7","E",0.1921922,2.64177527298345,2.64177527298345,0,"z_exploration",-1.31795454693593
"OG/B",NA,4,"7","E",0.2632058,2.64177527298345,2.64177527298345,0,"z_exploration",-0.30868308665052
"OG/G",-2.24280453761417,1,"7","C",0.1271186,0,0,0,"z_exploration",NA
"OG/G",-1.63467433917528,2,"7","C",0.1699074,0,0,0,"z_exploration",NA
"OG/G",NA,3,"7","E",0.3037634,2.23538616295965,1.67653962221974,0.558846540739913,"z_exploration",0.26773647492179
"OG/G",NA,4,"7","E",0.2800926,2.23538616295965,1.67653962221974,0.558846540739913,"z_exploration",-0.0686816602258968
"OG/O",-1.00833241158577,1,"8","C",0.2139776,0,0,0,"z_exploration",NA
"OG/O",-0.0692217302334852,2,"8","C",0.2800546,0,0,0,"z_exploration",NA
"OG/O",NA,3,"8","E",0.200579,10.9697235629662,0.438788942518649,10.5309346204476,"z_exploration",-1.19875825378755
"OG/O",NA,4,"8","E",0.3371143,10.9697235629662,0.438788942518649,10.5309346204476,"z_exploration",0.741731759555051
"OO/B",0.065358030709976,1,"7","C",0.2895238,0,0,0,"z_exploration",NA
"OO/B",0.774983017180122,2,"7","C",0.3394539,0,0,0,"z_exploration",NA
"OO/B",NA,3,"7","E",0.2338223,6.35391295139257,1.58847823784814,4.76543471354443,"z_exploration",-0.726292220017878
"OO/B",NA,4,"7","E",0.3665756,6.35391295139257,1.58847823784814,4.76543471354443,"z_exploration",1.1604466152011
"OO/G",-0.472754933718868,1,"8","C",0.2516615,0,0,0,"z_exploration",NA
"OO/G",1.27697666799623,2,"8","C",0.3747748,0,0,0,"z_exploration",NA
"OO/G",NA,3,"8","E",0.3628035,2.27894257064722,0,2.27894257064722,"z_exploration",1.10683613952683
"OO/G",NA,4,"8","E",0.3542857,2.27894257064722,0,2.27894257064722,"z_exploration",0.985778026089135
"OO/O",-0.865269287812594,1,"8","C",0.2240437,0,0,0,"z_exploration",NA
"OO/O",-0.170497647787978,2,"8","C",0.2729287,0,0,0,"z_exploration",NA
"OO/O",NA,3,"8","E",0.2689516,1.71770710639969,0.736160188457008,0.981546917942678,"z_exploration",-0.227021659029502
