"ID_fish","bold_E","se_b_E","exp_E","se_exp_E","act_E","se_act_E","bold_I","se_b_I","exp_I","se_exp_I","act_I","se_act_I","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"BB/G",-0.45547599207525,0.353153303742243,0.383277715589401,0.301559566174366,-0.62942372308989,0.479255725717854,0.273238390104714,0.286100184932942,-0.00090817402846523,0.346012237160655,-0.0411003995681667,0.378899951481485,4,2,"E",-0.410653798218625,-1.37703022802161,-0.208279808529339,70.0940615148675,62,19,0.004405043485849,17.6622007327256,"fulton4",0.0231968679465177,-1.11485176904891,0.692251502752056,3.26174579728524
"BB/O",-0.684637670279233,0.368494763657797,0.455023310918821,0.298190921327094,0.180746689048794,0.469233465601496,0.379489803466224,0.289524481918572,-0.509377887691142,0.34279165301343,0.0841219580647955,0.381531519671985,4,9,"E",-0.024438225453481,0.631605725319759,0.52880631658979,33.0756192959583,7,48,-0.0005914912645405,3.80269448066058,"fulton4",0.0241495496282166,-0.723441906075606,-0.367582202729431,-0.0439251039795115
"BB/R",-0.374598448497605,0.352551743792971,0.38339041315064,0.294650624773957,-0.419334533346216,0.464827102149287,0.27183500043105,0.284110292860163,0.0565730387505496,0.346028897959961,0.0911157392613626,0.374591160291611,4,1,"E",-0.288505285451468,-0.839968760119406,1.12161558165553,15.3094718463553,14,3,0.0019466769625409,4.00560545843001,"fulton4",0.0258238216153976,-0.0355662161453414,0.170798169194002,0.00447177990368265
"BG/B",-0.379661081737988,0.359574207249367,0.26846594063343,0.318188736436423,-0.367274999718155,0.469125945767559,0.402588181433338,0.284580013293901,-0.52516984329961,0.340488453229747,-0.0232205143941462,0.370880125069182,4,1,"E",-0.778963052744191,-1.46670767467313,-1.67548515566972,5.62172284644195,3,7,0.000649229836567598,1.12359550561798,"fulton4",0.0257168450150737,-0.0795176190939721,-0.104408201597154,-0.682924745260888
"BG/G",-0.580054383060386,0.361972677924371,0.38085072372131,0.292431409848978,-0.510221976956717,0.466588731531575,0.13306674058248,0.284955938426557,-0.186071135220864,0.334491756174855,0.0966775059276796,0.368053035494636,4,4,"E",-0.877235215124145,-2.05953143473773,0.0255548711507466,61.1321961620469,59,4,0.003560977335215,20.4975124378109,"fulton4",0.0270213702597354,0.456447391115628,0.51321346923729,3.93800418838914
"BG/R",-0.549330138298981,0.363131150318038,0.54416722113357,0.316360395376576,0.126413574323596,0.487820086914032,0.546740661908706,0.300566878361724,-0.74725374579317,0.357321809861159,-0.559636473194392,0.403741109346408,4,3,"E",-1.14130227512213,-1.0535392720306,-0.53519981772779,19.8990956687292,8,25,0.0144914202090092,3.80771061399334,"fulton4",0.023210635389321,-1.10919540658845,2.83171065823091,-0.042728691517668
"BO/G",-0.529351913857634,0.350343766379034,0.355788846497997,0.304139899051392,-0.805511475127107,0.487275444821859,-0.115135419751628,0.297410171586571,0.310760801345719,0.350511408368138,0.689855379274169,0.392390585173732,4,10,"E",-0.903379287528398,0.13186988104285,0.573379147058139,13.0033173608551,6,19,-0.0007262568217416,0.544907236761273,"fulton4",0.0239284026911859,-0.814300263051456,-0.396167829968105,-0.820949357138953
"BR/B",-0.614239346873091,0.370171609461603,0.309717800755647,0.309360213296953,-0.499990838686774,0.484210429316488,-0.0712084390533313,0.294623535049801,-0.0533389515404545,0.341772156052319,0.657990085046052,0.403620847667761,4,1,"E",-1.83894811682188,-0.847133557658972,0.175837878183257,15.3428317008014,10,12,0.0051302306249037,4.45235975066785,"fulton4",0.026010155216933,0.040989060234312,0.846073663739117,0.111028437623412
"BR/R",-0.423304495967829,0.352181909490146,0.283130433923156,0.311817873842923,-0.775883993289119,0.50848668269795,0.183258761133648,0.28526206260389,-0.0597803651835879,0.341280998492999,0.478664407057026,0.402076355038231,4,1,"E",0.537228289767089,-1.0323559010175,-0.164201568488993,10.5188916876574,8,5,0.0034699235500167,3.07784574787094,"fulton4",0.0239497532487689,-0.805528373155282,0.493899709724799,-0.216810870631144
"G/BG",-0.194299083523202,0.388854444786834,0.37038603784369,0.297673070676866,-0.714245920921736,0.475394896236978,0.153674590154304,0.285608772420042,-0.0875652423904691,0.332944541588113,0.00718254355551502,0.372007502427134,4,5,"E",-0.260151573968469,-0.337094201436014,1.03594342360974,5.75054704595186,4,4,-0.0015420055954819,1.75054704595186,"fulton4",0.0268242862509391,0.375475303209387,-0.569199358578562,-0.533388720983254
