"ID_fish","before_act","trial","cage","treatment","log_activity","dens_tot","dens_ces","dens_bs2","name","after_act"
"B/GG",NA,4,"C2","E",-0.242372180188131,1.91021967526266,0,1.91021967526266,"z_log_activity",-0.242372180188131
"B/GR",0.777539914155724,1,"C1","C",0.777539914155724,0,0,0,"z_log_activity",NA
"B/GR",0.798884071060081,2,"C1","C",0.798884071060081,0,0,0,"z_log_activity",NA
"B/GR",NA,3,"C1","E",-0.222583074009875,0.769230769230769,0,0.769230769230769,"z_log_activity",-0.222583074009874
"B/GR",NA,4,"C1","E",-0.227618728805331,0.769230769230769,0,0.769230769230769,"z_log_activity",-0.22761872880533
"B/OB",0.867150433529475,1,"9","C",0.867150433529475,0,0,0,"z_log_activity",NA
"B/OB",-0.221917291309053,2,"9","C",-0.221917291309053,0,0,0,"z_log_activity",NA
"B/OB",NA,3,"9","E",0.835097949007327,1.43884892086331,0.479616306954436,0.959232613908873,"z_log_activity",0.835097949007327
"B/OB",NA,4,"9","E",0.871377468034408,1.43884892086331,0.479616306954436,0.959232613908873,"z_log_activity",0.871377468034408
"B/OO",1.50049199590955,1,"10","C",1.50049199590955,0,0,0,"z_log_activity",NA
"B/OO",-0.305977143292202,2,"10","C",-0.305977143292203,0,0,0,"z_log_activity",NA
"B/OO",NA,3,"10","E",1.32410956831637,16.9445574081605,9.48895214856988,7.45560525959062,"z_log_activity",1.32410956831637
"B/OO",NA,4,"10","E",-1.26298621419214,16.9445574081605,9.48895214856988,7.45560525959062,"z_log_activity",-1.26298621419214
"B/RB",0.967131786495247,1,"3","C",0.967131786495247,0,0,0,"z_log_activity",NA
"B/RB",-1.00906097418944,2,"3","C",-1.00906097418944,0,0,0,"z_log_activity",NA
"B/RB",NA,3,"3","E",-1.98115469760703,6.32111251580278,3.37126000842815,2.94985250737463,"z_log_activity",-1.98115469760703
"B/RB",NA,4,"3","E",-0.223619061395926,6.32111251580278,3.37126000842815,2.94985250737463,"z_log_activity",-0.223619061395926
"B/RG",-0.355875318884812,1,"5","C",-0.355875318884812,0,0,0,"z_log_activity",NA
"B/RG",-0.113214941461969,2,"5","C",-0.11321494146197,0,0,0,"z_log_activity",NA
"B/RG",NA,3,"5","E",0.94320804519237,4.02058539723384,2.01029269861692,2.01029269861692,"z_log_activity",0.94320804519237
"B/RG",NA,4,"5","E",-0.0156556460515963,4.02058539723384,2.01029269861692,2.01029269861692,"z_log_activity",-0.0156556460515959
"B/RR",1.35256902930088,1,"3","C",1.35256902930088,0,0,0,"z_log_activity",NA
"B/RR",-0.679545388618109,2,"3","C",-0.67954538861811,0,0,0,"z_log_activity",NA
"B/RR",NA,3,"3","E",0.432653993592206,3.22812051649928,1.43472022955524,1.79340028694405,"z_log_activity",0.432653993592207
"B/RR",NA,4,"3","E",-1.63435440476716,3.22812051649928,1.43472022955524,1.79340028694405,"z_log_activity",-1.63435440476715
"BB/B",1.67103716956356,1,"2","C",1.67103716956356,0,0,0,"z_log_activity",NA
"BB/B",0.982537657680708,2,"2","C",0.982537657680707,0,0,0,"z_log_activity",NA
"BB/B",NA,3,"2","E",-0.143152653834524,10.5095541401274,6.36942675159236,4.14012738853503,"z_log_activity",-0.143152653834524
"BB/B",NA,4,"2","E",-1.25203628326047,10.5095541401274,6.36942675159236,4.14012738853503,"z_log_activity",-1.25203628326047
"BB/G",0.643534459468121,1,"2","C",0.643534459468121,0,0,0,"z_log_activity",NA
"BB/G",-0.964230917351226,2,"2","C",-0.964230917351226,0,0,0,"z_log_activity",NA
"BB/G",NA,3,"2","E",-1.24005304204584,22.5781715941041,8.09406151486751,14.4841100792366,"z_log_activity",-1.24005304204584
"BB/G",NA,4,"2","E",-1.37703022802161,22.5781715941041,8.09406151486751,14.4841100792366,"z_log_activity",-1.37703022802161
"BB/O",0.541220538927156,1,"9","C",0.541220538927155,0,0,0,"z_log_activity",NA
