"ID_fish","trial","cage","treatment","log_boldness","exploration","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_bs","dens_ces","BS_pre","BS_post_tot","name","body_condition","z_bc","z_dens","z_bs","z_ces","z_bs_pre","z_bs_post"
"BR/B",4,"1","E",-2.0034116244538,0.2972973,-0.839867531390096,-2.0034116244538,-0.839867531390096,0.253470679723485,15.3428317008014,4.45235975066785,5.34283170080142,0,10,"fulton4",0.026010155216933,-0.277216632414706,-0.284433704752018,-0.351778527483497,0.0774414952764791,-0.746384800134508,-0.33884155496325
"BR/R",3,"1","E",-1.0837343865342,0.2946506,-0.372472202091828,-1.0837343865342,-0.372472202091829,0.215266308370418,10.5188916876574,4.03022670025189,2.51889168765743,2,8,"fulton3",0.0266422215830421,-0.0202883826870736,-0.648053095187392,-0.421969430285961,-0.435225742508598,-0.454638298453267,-0.500194676374322
"BR/R",4,"1","E",0.476658301791852,0.2733717,-1.0212420465351,0.476658301791852,-1.0212420465351,-0.0918886383877229,10.5188916876574,4.03022670025189,2.51889168765743,2,8,"fulton4",0.0239497532487689,-1.11474810031185,-0.648053095187392,-0.421969430285961,-0.435225742508598,-0.454638298453267,-0.500194676374322
"G/BG",3,"5","E",1.22768061048692,0.2462335,-1.74191532444962,1.22768061048692,-1.74191532444962,-0.483620935457205,5.75054704595186,1.75054704595186,1.75054704595186,0,4,"fulton3",0.0280651789826926,0.558128653453841,-1.00748181264209,-0.801027106243945,-0.574713523161421,-0.746384800134508,-0.822900919196465
"G/BG",4,"5","E",-0.355585387843642,0.3578154,-0.340423785768409,-0.355585387843642,-0.340423785768409,1.12703246080258,5.75054704595186,1.75054704595186,1.75054704595186,0,4,"fulton4",0.0268242862509391,0.0537189668068935,-1.00748181264209,-0.801027106243945,-0.574713523161421,-0.746384800134508,-0.822900919196465
"G/BR",3,"5","E",-0.717839266736211,0.2336066,-0.317622352330526,-0.717839266736211,-0.317622352330526,-0.665886691545178,18,9.50369588173178,0,5,18,"fulton3",0.0261199180331045,-0.232599216022624,-0.0841414302614245,0.488141121188196,-0.892513516958671,-0.0170185459314057,0.306570930681036
"G/BR",4,"5","E",0.71765613107939,0.3147541,0.432659161633477,0.717656131079389,0.432659161633477,0.505454686160262,18,9.50369588173178,0,5,18,"fulton4",0.0264993782649833,-0.0783526709675236,-0.0841414302614245,0.488141121188196,-0.892513516958671,-0.0170185459314057,0.306570930681036
"G/GB",3,"7","E",-0.168931853182944,0.2786885,1.39579227462148,-0.168931853182945,1.39579227462148,-0.0151421232518987,8.9321431331633,2.70500038642863,1.9321431331633,2,7,"fulton3",0.0280421228349132,0.548756574805061,-0.767659172499144,-0.642323726859465,-0.541745979945226,-0.454638298453267,-0.580871237079858
"G/GB",4,"7","E",-1.20746510618691,0.3693918,-1.20596738168556,-1.20746510618691,-1.20596738168556,1.29413454435252,8.9321431331633,2.70500038642863,1.9321431331633,2,7,"fulton4",0.0280230501553472,0.54100373358259,-0.767659172499144,-0.642323726859465,-0.541745979945226,-0.454638298453267,-0.580871237079858
"G/GG",3,"6","E",1.01723573994013,0.2873406,0.611374273273614,1.01723573994013,0.611374273273614,0.109748510890191,20.6239038648912,6.17083468658655,1.6239038648912,8,19,"fulton3",0.0304248052183202,1.51729160095128,0.113643434664979,-0.0660361363660927,-0.597704737392774,0.420601206590456,0.387247491386572
"G/GG",4,"6","E",-0.23185466819093,0.2849462,-0.149034173663834,-0.23185466819093,-0.149034173663834,0.0751860191957097,20.6239038648912,6.17083468658655,1.6239038648912,8,19,"fulton4",0.024632,-0.837422058182418,0.113643434664979,-0.0660361363660927,-0.597704737392774,0.420601206590456,0.387247491386572
"G/OG",3,"9","E",-1.0837343865342,0.2656578,0.0436306262079675,-1.0837343865342,0.0436306262079674,-0.203236618959915,12.8058017727639,4.8348106365834,0.8058017727639,2,12,"fulton3",0.0241554888206937,-1.03111878029796,-0.475670178140096,-0.288185845191592,-0.746225647130565,-0.454638298453267,-0.177488433552179
