"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","parasite_load","adj_mass3","adj_mass4","dens_tot","dens_bs","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"RB/G",8,"2",2,216,3,"06/07/2022","MG",1018,0.3518018,696.5,3,"03/07/2022",1002,"MG",2.6,2.4,2.7,2.4,54.1,54.2,56.6,55.9,44.3,44.6,44.6,46,2,6,3,9,7,4,0,0,1,0,"C",11,17,2.6662,2.3662,12.3809483560139,3.80356690051559,3.38094835601386,0.0299062644502613,0.0270524538965318,0.0300530219078887,0.0243096079559464,0.798503470018553,-0.360756067576321,"RB/G",-0.360756067576321,0.798503470018553,1.04022783331597,"3","3","RB/G"
"RB/R",10,"2",2,233,1,"05/07/2022","JAP",4658,0.1891626,433.99,4,"02/07/2022",4541,"MG",1.9,1.6,2,2,48.3,52.7,52.6,51,40.5,44,42.8,41.9,4,20,1,21,28,8,0,0,3,0,"C",36,52,1.8896,1.8896,37.4055884843353,11.1134631668078,16.4055884843353,0.0286014816320156,0.0187828700225394,0.0241011948152024,0.0256878532411182,0.878089167106474,-1.61537504198583,"RB/R",-1.61537504198583,0.878089167106474,-1.30742335244959,"1","4","RB/R"
"RR/B",9,"2",2,63,4,"05/07/2022","MG",4561,0.335401,722.61,3,"02/07/2022",989,"MG",2.7,3.2,2.9,2.9,53.5,56,57.2,58,45.9,47.6,46.1,46.4,2,28,3,31,4,1,0,0,2,0,"C",5,37,2.8834,2.8834,33.0808767427343,10.7511965041271,2.08087674273427,0.0279206617643569,0.0296707907087699,0.029430803423678,0.0288636302482677,-0.495859708450062,-0.263149729302934,"RR/B",-0.263149729302934,-0.495859708450062,0.803486890372917,"4","3","RR/B"
"B/RB",16,"3",1,29,3,"29/06/2022","MG",972,0.2025206,1136,1,"23/06/2022",4589,"JAP",2.4,2,2.6,2.4,51.1,52.3,54.3,52.4,44,43.4,43.6,45,22,14,15,29,8,1,0,0,0,1,"C",9,37,2.573,2.373,32.3712600084282,12.220817530552,3.37126000842815,0.0281743050338092,0.0244658780759603,0.03104418897183,0.0260411522633745,-1.3108761023798,0.936708075924213,"B/RB",0.936708075924213,-1.3108761023798,-1.11460437314167,"3","1","B/RB"
"B/RR",18,"3",1,656,1,"30/06/2022","JAP",4649,0.2968468,1309.73,1,"24/06/2022",4595,"JAP",2.8,2.8,2.9,2.8,57.8,57.3,58.4,58.2,46.4,47.4,46.6,48.3,2,6,1,7,4,0,1,0,0,1,"C",4,11,2.888,2.788,8.43472022955524,2.51076040172166,1.43472022955524,0.0280287732174341,0.026291962629656,0.0285390451689286,0.02474294428275,1.96548202271778,1.31413820538424,"B/RR",1.31413820538424,1.96548202271778,0.246967838715983,"1","1","B/RR"
"BG/R",17,"3",1,289,2,"28/06/2022","JAP",579,0.09981168,638.95,4,"22/06/2022",4498,"MG",2.3,3.3,2.3,2.2,53,54.4,54.3,55,43.2,44.4,43.7,44.9,0,6,2,8,25,8,0,0,0,1,"C",33,33,2.201,2.101,19.8990956687292,3.80771061399334,11.8990956687292,0.0285283461616623,0.0377020555983302,0.0263739835905891,0.023210635389321,1.1043538504429,-0.589487026793663,"BG/R",-0.589487026793663,1.1043538504429,-2.59717879447859,"2","4","BG/R"
"G/RR",14,"3",1,375,4,"30/06/2022","MG",529,0.04693487,712.35,1,"24/06/2022",4594,"JAP",2.3,2.3,2.7,2.8,55.9,55.7,56.6,59.4,45,44.5,44.2,46.4,2,2,4,6,21,2,0,0,0,0,"C",23,27,2.631,2.731,13.6894910289271,2.19699743683632,7.68949102892713,0.0252400548696845,0.0261004384589961,0.0304687080924981,0.0273380641631473,1.37800761019362,-0.301077137245443,"G/RR",-0.301077137245443,1.37800761019362,-3.36044069994788,"4","1","G/RR"
"GB/B",15,"3",1,178,3,"29/06/2022","MG",971,0.2941712,1568.2,4,"23/06/2022",4505,"MG",2.4,1.8,2.1,1.9,52.8,53.7,54.7,54.2,42.5,44.1,43.2,45,5,13,3,16,2,1,0,0,0,0,"C",3,18,2.091,1.891,17.0576414595452,8.46113167636171,1.05764145954521,0.031263993486668,0.0209873080304052,0.0259359877495809,0.0207517146776406,0.595237712596012,1.79182132215695,"GB/B",1.79182132215695,0.595237712596012,0.20834630397753,"3","4","GB/B"
"GR/G",13,"3",1,89,2,"28/06/2022","JAP",578,0.2955134,1579.21,3,"22/06/2022",4582,"MG",2.2,2.6,2,1.9,51.1,53.3,52.1,54.4,43.1,43.7,41.8,41.9,0,4,2,6,8,1,0,0,0,1,"C",9,14,1.973,1.873,10.27122263748,3.20341697810998,4.27122263747998,0.0274783638797606,0.0311550919289104,0.0270145812468803,0.0254621872992244,-0.132911286094547,1.81037687791349,"GR/G",1.81037687791349,-0.132911286094547,0.227720584111313,"2","3","GR/G"
"B/RB",16,"3",2,107,3,"05/07/2022","MG",1011,0.2280872,547.65,4,"02/07/2022",4538,"MG",2.4,2,2.6,2.4,51.1,52.3,54.3,52.4,44,43.4,43.6,45,22,14,15,29,8,1,0,0,0,1,"C",9,37,2.573,2.373,32.3712600084282,12.220817530552,3.37126000842815,0.0281743050338092,0.0244658780759603,0.03104418897183,0.0260411522633745,0.0605823362137477,-0.998431050938314,"B/RB",-0.998431050938314,0.0605823362137475,-0.745557680794476,"3","4","B/RB"
"B/RR",18,"3",2,72,2,"06/07/2022","JAP",633,0.247366,618.5,1,"03/07/2022",5,"JAP",2.8,2.8,2.9,2.8,57.8,57.3,58.4,58.2,46.4,47.4,46.6,48.3,2,6,1,7,4,0,1,0,0,1,"C",4,11,2.888,2.788,8.43472022955524,2.51076040172166,1.43472022955524,0.0280287732174341,0.026291962629656,0.0285390451689286,0.02474294428275,-0.355585387843642,-0.67576085639253,"B/RR",-0.67576085639253,-0.355585387843642,-0.467273615943339,"2","1","B/RR"
"BG/R",17,"3",2,248,4,"04/07/2022","MG",4556,0.2652778,462.67,4,"01/07/2022",4537,"MG",2.3,3.3,2.3,2.2,53,54.4,54.3,55,43.2,44.4,43.7,44.9,0,6,2,8,25,8,0,0,0,1,"C",33,33,2.201,2.101,19.8990956687292,3.80771061399334,11.8990956687292,0.0285283461616623,0.0377020555983302,0.0263739835905891,0.023210635389321,0.943629979156635,-1.44565320788273,"BG/R",-1.44565320788273,0.943629979156635,-0.208721812262581,"4","4","BG/R"
"G/RR",14,"3",2,258,1,"06/07/2022","JAP",4674,0.1192118,661.2,4,"03/07/2022",4550,"MG",2.3,2.3,2.7,2.8,55.9,55.7,56.6,59.4,45,44.5,44.2,46.4,2,2,4,6,21,2,0,0,0,0,"C",23,27,2.631,2.731,13.6894910289271,2.19699743683632,7.68949102892713,0.0252400548696845,0.0261004384589961,0.0304687080924981,0.0273380641631473,0.98515700467925,-0.4987013879905,"G/RR",-0.498701387990501,0.98515700467925,-2.31714350949198,"1","4","G/RR"
"GB/B",15,"3",2,281,1,"05/07/2022","JAP",4657,0.2853107,1032.84,4,"02/07/2022",4539,"MG",2.4,1.8,2.1,1.9,52.8,53.7,54.7,54.2,42.5,44.1,43.2,45,5,13,3,16,2,1,0,0,0,0,"C",3,18,2.091,1.891,17.0576414595452,8.46113167636171,1.05764145954521,0.031263993486668,0.0209873080304052,0.0259359877495809,0.0207517146776406,1.07486428035129,0.684214779923848,"GB/B",0.684214779923848,1.07486428035129,0.0804474743505034,"1","4","GB/B"
"GR/G",13,"3",2,35,3,"04/07/2022","MG",1007,0.37572,1097.23,3,"01/07/2022",988,"MG",2.2,2.6,2,1.9,51.1,53.3,52.1,54.4,43.1,43.7,41.8,41.9,0,4,2,6,8,1,0,0,0,1,"C",9,14,1.973,1.873,10.27122263748,3.20341697810998,4.27122263747998,0.0274783638797606,0.0311550919289104,0.0270145812468803,0.0254621872992244,-1.11332780685074,0.844611352365417,"GR/G",0.844611352365416,-1.11332780685074,1.38548033450497,"3","3","GR/G"
