"ID_fish","before_bold","trial","cage","treatment","log_boldness","dens_tot","dens_ces","dens_bs2","name","after_bold"
"G/OO",NA,3,"10","E",-0.851753089600784,10.2021888332406,2.78241513633834,7.41977369690224,"z_log_boldness",-0.851753089600783
"G/OO",NA,4,"10","E",-0.04680559475426,10.2021888332406,2.78241513633834,7.41977369690224,"z_log_boldness",-0.0468055947542596
"G/RB",-1.10829963991838,1,"5","C",-1.10829963991838,0,0,0,"z_log_boldness",NA
"G/RB",-0.531232531313086,2,"5","C",-0.531232531313087,0,0,0,"z_log_boldness",NA
"G/RB",NA,3,"5","E",-0.802646267697309,5.45723863724955,3.50822483823185,1.9490137990177,"z_log_boldness",-0.802646267697309
"G/RB",NA,4,"5","E",0.119591370726934,5.45723863724955,3.50822483823185,1.9490137990177,"z_log_boldness",0.119591370726934
"G/RG",0.684207618589593,1,"C2","C",0.684207618589592,0,0,0,"z_log_boldness",NA
"G/RG",-0.219064636697889,2,"C2","C",-0.21906463669789,0,0,0,"z_log_boldness",NA
"G/RG",NA,3,"C2","E",-2.24704477300029,5.02828409805154,0,5.02828409805154,"z_log_boldness",-2.24704477300029
"G/RG",NA,4,"C2","E",-2.60603460727522,5.02828409805154,0,5.02828409805154,"z_log_boldness",-2.60603460727522
"G/RR",1.40081884342611,1,"3","C",1.40081884342611,0,0,0,"z_log_boldness",NA
"G/RR",1.02442528683372,2,"3","C",1.02442528683371,0,0,0,"z_log_boldness",NA
"G/RR",NA,3,"3","E",0.524487737416939,9.15415598681802,7.68949102892713,1.46466495789088,"z_log_boldness",0.524487737416939
"G/RR",NA,4,"3","E",0.157221555214031,9.15415598681802,7.68949102892713,1.46466495789088,"z_log_boldness",0.157221555214031
"GB/B",0.650840246945492,1,"3","C",0.650840246945492,0,0,0,"z_log_boldness",NA
"GB/B",1.11037460209111,2,"3","C",1.11037460209111,0,0,0,"z_log_boldness",NA
"GB/B",NA,3,"3","E",0.511583840205618,6.87466948704389,1.05764145954521,5.81702802749868,"z_log_boldness",0.511583840205618
"GB/B",NA,4,"3","E",-1.21074292387571,6.87466948704389,1.05764145954521,5.81702802749868,"z_log_boldness",-1.21074292387571
"GB/G",0.678722644818326,1,"4","C",0.678722644818326,0,0,0,"z_log_boldness",NA
"GB/G",2.04754454839599,2,"4","C",2.04754454839599,0,0,0,"z_log_boldness",NA
"GB/G",NA,3,"4","E",1.40349924499992,8.28025477707006,3.82165605095541,4.45859872611465,"z_log_boldness",1.40349924499993
"GB/G",NA,4,"4","E",0.964138394566738,8.28025477707006,3.82165605095541,4.45859872611465,"z_log_boldness",0.964138394566739
"GB/R",-0.73320561894373,1,"C1","C",-0.73320561894373,0,0,0,"z_log_boldness",NA
"GB/R",-0.689438280099331,2,"C1","C",-0.689438280099331,0,0,0,"z_log_boldness",NA
"GB/R",NA,3,"C1","E",-2.76118575524613,1.03448275862069,0,1.03448275862069,"z_log_boldness",-2.76118575524613
"GB/R",NA,4,"C1","E",-0.129254375412306,1.03448275862069,0,1.03448275862069,"z_log_boldness",-0.129254375412306
"GG/B",0.802755089246646,1,"C2","C",0.802755089246645,0,0,0,"z_log_boldness",NA
"GG/B",-0.317680957123978,2,"C2","C",-0.317680957123978,0,0,0,"z_log_boldness",NA
"GG/B",NA,3,"C2","E",0.0293976115528794,0.557413600891862,0,0.557413600891862,"z_log_boldness",0.0293976115528798
"GG/B",NA,4,"C2","E",0.138582315194883,0.557413600891862,0,0.557413600891862,"z_log_boldness",0.138582315194883
"GG/G",0.886677861180266,1,"4","C",0.886677861180265,0,0,0,"z_log_boldness",NA
"GG/G",-0.495282631349995,2,"4","C",-0.495282631349996,0,0,0,"z_log_boldness",NA
"GG/G",NA,3,"4","E",1.36252383636773,11.142061281337,9.15240748109829,1.98965380023876,"z_log_boldness",1.36252383636773
"GG/G",NA,4,"4","E",1.96674704914924,11.142061281337,9.15240748109829,1.98965380023876,"z_log_boldness",1.96674704914924
"GG/R",1.20922968190537,1,"4","C",1.20922968190537,0,0,0,"z_log_boldness",NA
"GG/R",1.64718204983972,2,"4","C",1.64718204983972,0,0,0,"z_log_boldness",NA
"GG/R",NA,3,"4","E",0.166413310386665,8.37598883201489,6.51465798045603,1.86133085155886,"z_log_boldness",0.166413310386666
"GG/R",NA,4,"4","E",-0.04680559475426,8.37598883201489,6.51465798045603,1.86133085155886,"z_log_boldness",-0.0468055947542596
"GO/B",1.07018272063418,1,"9","C",1.07018272063418,0,0,0,"z_log_boldness",NA
"GO/B",-0.0468055947542596,2,"9","C",-0.04680559475426,0,0,0,"z_log_boldness",NA
"GO/B",NA,3,"9","E",-0.0930891603994867,9.53389830508475,0,9.53389830508475,"z_log_boldness",-0.0930891603994863
"GO/B",NA,4,"9","E",-1.65544325736797,9.53389830508475,0,9.53389830508475,"z_log_boldness",-1.65544325736797
"GO/O",-0.877235215124145,1,"10","C",-0.877235215124145,0,0,0,"z_log_boldness",NA
