ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
R/RR;23;4;1;322;3;29/06/2022;MG;973;0.3218292;1042.74;2;23/06/2022;571;JAP;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;0;0;0;0;0;0;0;0;0;C
BG/G;20;4;2;139;1;06/07/2022;JAP;4673;0.3111111;756.46;3;02/07/2022;990;MG;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;0;0;0;0;0;0;0;0;0;C
GB/G;22;4;2;713;2;04/07/2022;JAP;611;0.1675774;501.71;3;01/07/2022;987;MG;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;0;0;0;0;0;0;0;0;1;C
GG/G;24;4;2;57;3;05/07/2022;MG;1013;0.2968614;638.67;3;02/07/2022;991;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;0;0;0;0;0;0;0;0;0;C
GG/R;21;4;2;479;3;05/07/2022;MG;1012;0.2527778;594.2;3;03/07/2022;1003;MG;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;0;0;0;0;0;0;0;0;0;C
GR/R;19;4;2;122;4;06/07/2022;MG;4568;0.2581967 ;767.84;4;03/07/2022;4551;MG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;0;0;0;0;0;0;0;0;0;C
R/RR;23;4;2;68;1;04/07/2022;JAP;1;0.2609277;602.03;1;02/07/2022;13;JAP;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;0;0;0;0;0;0;0;0;0;C
B/BB;25;5;1;234;4;29/06/2022;MG;522;0.2346851;1199.58;3;23/06/2022;954;MG;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;0;0;0;0;0;0;0;0;0;C
B/BR;28;5;1;275;3;28/06/2022;MG;965;0.1935484;666.86;1;22/06/2022;946;JAP;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;0;0;0;0;0;0;0;0;1;C
B/RG;29;5;1;37;1;29/06/2022;JAP;4633;0.2225225;697.01;4;23/06/2022;4503;MG;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;0;0;0;0;0;0;0;0;0;C
