ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
GR/R;19;4;4;32;3;25/08/2022;VM;4675;0.2924236;913.89;2;22/08/2022;1132;MG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;4;1;5;15;0;0;0;0;0;E
R/RR;23;4;4;58;3;24/08/2022;VM;822;0.3677448;1010.77;2;19/08/2022;1125;MG;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;6;8;14;36;11;0;0;0;0;E
B/BB;25;5;3;78;2;16/08/2022;JAP;721;0.2397661;1184.8;2;13/08/2022;698;SGG;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;6;3;9;4;1;1;0;0;0;E
B/BR;28;5;3;190;3;15/08/2022;MG;1103;0.3198937;892.36;3;12/08/2022;1088;MG;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;6;3;9;2;8;0;0;2;1;E
B/RG;29;5;3;377;4;16/08/2022;MG;4624;0.3610988;1126.01;3;13/08/2022;1091;MG;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;4;1;5;4;0;0;0;1;0;E
G/BG;30;5;3;325;2;17/08/2022;JAP;2;0.2462335;413.77;4;14/08/2022;4611;MG;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;3;1;4;4;1;0;0;0;0;E
G/BR;27;5;3;51;2;17/08/2022;JAP;3;0.2336066;707.92;4;14/08/2022;4610;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;14;4;18;0;2;0;0;0;0;E
G/RB;26;5;3;42;1;15/08/2022;SGG;3;0.2680549;1504.92;3;12/08/2022;1087;MG;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;4;3;7;7;4;0;0;2;0;E
B/BB;25;5;4;325;4;24/08/2022;VM;4659;0.2879929;874.66;2;19/08/2022;1126;MG;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;6;3;9;4;1;1;0;0;0;E
B/BR;28;5;4;121;4;23/08/2022;VM;4654;0.3424408;674.55;4;18/08/2022;4636;MG;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;6;3;9;2;8;0;0;2;1;E
B/RG;29;5;4;48;3;24/08/2022;VM;821;0.3419204;790.3;2;19/08/2022;1127;MG;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;4;1;5;4;0;0;0;1;0;E
G/BG;30;5;4;72;4;25/08/2022;VM;835;0.3578154;701.86;4;22/08/2022;4646;VM;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;3;1;4;4;1;0;0;0;0;E
G/BR;27;5;4;200;4;25/08/2022;VM;833;0.3147541 ;939.38;2;22/08/2022;1131;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;14;4;18;0;2;0;0;0;0;E
G/RB;26;5;4;105;3;23/08/2022;VM;809;0.3559719;1328.92;3;18/08/2022;771;MG;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;4;3;7;7;4;0;0;2;0;E
B/BG;33;6;3;71;3;17/08/2022;MG;1115;0.376163;1357.41;2;14/08/2022;705;SGG;2.6;2.7;3.0;3.0;56.4;54.1;57.9;57.6;47.2;49.1;46.0;47.4;4;6;11;17;6;4;0;0;0;0;E
G/GG;31;6;3;266;4;16/08/2022;MG;4622;0.2873406;1004.86;3;13/08/2022;1090;MG;2.6;2.5;3.2;3.1;55.6;57.9;59.0;57.5;44.1;46.6;47.1;50.0;8;8;11;19;5;2;0;0;0;0;E
R/BG;35;6;3;156;3;15/08/2022;MG;1102;0.2325976;642.71;2;12/08/2022;4751;JAP;2.3;3.1;2.5;2.3;53.4;53.0;54.7;54.6;43.3;45.5;43.5;44.2;11;6;6;12;8;4;0;0;0;0;E
R/BR;36;6;3;27;4;17/08/2022;MG;4629;0.2853345;359.66;3;14/08/2022;1096;MG;2.3;2.2;2.0;2.0;53.1;51.2;51.6;52.2;43.4;43.1;43.6;43.9;0;2;2;4;26;10;0;0;0;1;E
R/RB;32;6;3;332;3;16/08/2022;MG;1107;0.2516129 ;369.9;1;13/08/2022;3;SGG;2.2;1.9;1.8;1.8;53.8;52.4;51.2;50.9;44.0;42.4;41.0;41.5;0;5;2;7;29;18;0;0;0;0;E
R/RG;34;6;3;238;1;15/08/2022;SGG;1;0.1203624;933.61;4;12/08/2022;4599;MG;2.1;1.8;1.9;1.9;51.8;50.4;52.6;52.4;44.9;44.2;43.2;43.2;0;0;1;1;9;8;1;0;0;1;E
B/BG;33;6;4;8;2;25/08/2022;MG;1.1;0.4804762;1333.85;3;22/08/2022;781;VM;2.6;2.7;3.0;3.0;56.4;54.1;57.9;57.6;47.2;49.1;46.0;47.4;4;6;11;17;6;4;0;0;0;0;E
G/GG;31;6;4;81;2;24/08/2022;MG;2;0.2849462 ;754.38;1;19/08/2022;1;MG;2.6;2.5;3.2;3.1;55.6;57.9;59.0;57.5;44.1;46.6;47.1;50.0;8;8;11;19;5;2;0;0;0;0;E
R/BG;35;6;4;58;4;23/08/2022;VM;4653;0.2928666;711.45;1;18/08/2022;1;MG;2.3;3.1;2.5;2.3;53.4;53.0;54.7;54.6;43.3;45.5;43.5;44.2;11;6;6;12;8;4;0;0;0;0;E
R/BR;36;6;4;139;1;25/08/2022;MG;2;0.2968542;718.59;4;22/08/2022;4647;VM;2.3;2.2;2.0;2.0;53.1;51.2;51.6;52.2;43.4;43.1;43.6;43.9;0;2;2;4;26;10;0;0;0;1;E
R/RB;32;6;4;124;4;24/08/2022;VM;4660;0.2972973;526.32;4;19/08/2022;4641;MG;2.2;1.9;1.8;1.8;53.8;52.4;51.2;50.9;44.0;42.4;41.0;41.5;0;5;2;7;29;18;0;0;0;0;E
R/RG;34;6;4;292;1;23/08/2022;MG;4768;0.3019126;509.53;2;18/08/2022;1120;MG;2.1;1.8;1.9;1.9;51.8;50.4;52.6;52.4;44.9;44.2;43.2;43.2;0;0;1;1;9;8;1;0;0;1;E
B/GB;37;7;3;107;3;15/08/2022;MG;1105;0.2038104;619.45;3;12/08/2022;4754;MG;1.8;1.9;1.6;1.7;50.5;51.5;50.0;50.4;42.9;41.0;39.8;41.4;0;6;3;9;8;8;0;2;6;0;E
G/GB;38;7;3;86;4;16/08/2022;MG;4627;0.2786885;1350.68;2;13/08/2022;5;SGG;2.1;2.3;2.5;2.6;53.5;53.1;56.1;55.6;44.9;43.4;44.6;45.2;2;7;0;7;1;2;0;0;4;0;E
OG/B;42;7;3;32;3;17/08/2022;MG;1118;0.1921922;925.73;4;14/08/2022;4613;MG;2.1;2.7;2.2;2.3;50.3;50.4;51.7;53.9;41.1;43.1;41.8;44.6;14;6;5;11;0;8;0;0;6;1;E
OG/G;40;7;3;40;3;17/08/2022;MG;1116;0.3037634;563.74;3;14/08/2022;1098;MG;1.8;1.7;1.8;1.8;51.6;48.8;50.5;51.2;40.5;41.0;40.1;40.2;4;2;3;5;1;2;0;0;2;1;E
OO/B;39;7;3;16;2;15/08/2022;SGG;716;0.2338223;1286.72;2;12/08/2022;697;JAP;1.8;2.0;1.8;1.9;49.0;50.5;51.5;49.0;40.1;42.1;39.1;41.8;4;9;4;13;0;3;0;0;3;1;E
R/GB;41;7;3;203;3;16/08/2022;MG;1110;0.3101237;1021.27;2;13/08/2022;6;SGG;1.8;1.8;2.0;2.2;51.7;50.0;51.8;53.2;42.8;41.1;41.6;42.6;0;9;6;15;2;4;0;0;0;0;E
B/GB;37;7;4;74;2;23/08/2022;MG;6;0.2942459;603.51;4;18/08/2022;4639;MG;1.8;1.9;1.6;1.7;50.5;51.5;50.0;50.4;42.9;41.0;39.8;41.4;0;6;3;9;8;8;0;2;6;0;E
