ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
RG/G;6;1;2;88;3;04/07/2022;MG;1005;0.3030572;594.46;2;01/07/2022;594;JAP;1.9;1.9;2.1;2.1;49.4;47.9;52.1;50.7;41.2;38.6;42.4;42.0;4;15;3;18;11;3;0;0;2;0;C
RR/R;2;1;2;146;4;06/07/2022;MG;4567;0.279701;914.09;1;03/07/2022;8;JAP;2.4;2.0;2.1;2.1;52.9;52.4;54.4;51.4;41.7;43.2;42.2;41.1;0;0;0;0;7;0;0;0;2;1;C
BB/B;7;2;1;62;4;28/06/2022;MG;517;0.3416667;1473.15;2;22/06/2022;564;JAP;3.8;4.3;3.3;3.2;59.8;60.1;62.7;62.4;47.2;48.8;50.2;49.5;4;8;9;17;20;0;0;0;0;0;C
BB/G;12;2;1;255;3;30/06/2022;MG;978;0.3524904;1008.07;4;24/06/2022;4510;MG;3.2;2.6;2.8;2.4;56.9;56.6;58.9;56.6;45.8;45.5;46.4;46.6;28;40;22;62;17;0;0;0;2;0;C
RB/B;11;2;1;597;4;28/06/2022;MG;518;0.3126177 ;632.55;1;22/06/2022;948;JAP;2.8;3.2;2.6;2.5;56.1;55.2;58.1;57.7;45.2;44.9;45.2;46.4;6;11;6;17;5;0;0;0;1;1;C
RB/G;8;2;1;169;4;30/06/2022;MG;527;0.3649698;1561.4;3;24/06/2022;959;MG;2.6;2.4;2.7;2.4;54.1;54.2;56.6;55.9;44.3;44.6;44.6;46.0;2;6;3;9;7;4;0;0;1;0;C
RB/R;10;2;1;166;2;29/06/2022;JAP;581;0.2738148;1146.72;2;23/06/2022;573;JAP;1.9;1.6;2.0;2.0;48.3;52.7;52.6;51.0;40.5;44.0;42.8;41.9;4;20;1;21;28;8;0;0;3;0;C
RR/B;9;2;1;336;1;29/06/2022;JAP;4630;0.3593615;1314.63;1;23/06/2022;4587;JAP;2.7;3.2;2.9;2.9;53.5;56.0;57.2;58.0;45.9;47.6;46.1;46.4;2;28;3;31;4;1;0;0;2;0;C
BB/B;7;2;2;325;4;04/07/2022;MG;4554;0.2487179;1142.48;1;01/07/2022;12;JAP;3.8;4.3;3.3;3.2;59.8;60.1;62.7;62.4;47.2;48.8;50.2;49.5;4;8;9;17;20;0;0;0;0;0;C
BB/G;12;2;2;186;2;06/07/2022;JAP;634;0.3151184;556.79;2;03/07/2022;607;JAP;3.2;2.6;2.8;2.4;56.9;56.6;58.9;56.6;45.8;45.5;46.4;46.6;28;40;22;62;17;0;0;0;2;0;C
RB/B;11;2;2;165;1;04/07/2022;JAP;3;0.2959927;642.03;2;01/07/2022;593;JAP;2.8;3.2;2.6;2.5;56.1;55.2;58.1;57.7;45.2;44.9;45.2;46.4;6;11;6;17;5;0;0;0;1;1;C
RB/G;8;2;2;216;3;06/07/2022;MG;1018;0.3518018;696.5;3;03/07/2022;1002;MG;2.6;2.4;2.7;2.4;54.1;54.2;56.6;55.9;44.3;44.6;44.6;46.0;2;6;3;9;7;4;0;0;1;0;C
RB/R;10;2;2;233;1;05/07/2022;JAP;4658;0.1891626;433.99;4;02/07/2022;4541;MG;1.9;1.6;2.0;2.0;48.3;52.7;52.6;51.0;40.5;44.0;42.8;41.9;4;20;1;21;28;8;0;0;3;0;C
RR/B;9;2;2;63;4;05/07/2022;MG;4561;0.335401 ;722.61;3;02/07/2022;989;MG;2.7;3.2;2.9;2.9;53.5;56.0;57.2;58.0;45.9;47.6;46.1;46.4;2;28;3;31;4;1;0;0;2;0;C
B/RB;16;3;1;29;3;29/06/2022;MG;972;0.2025206;1136.0;1;23/06/2022;4589;JAP;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;14;15;29;8;1;0;0;0;1;C
B/RR;18;3;1;656;1;30/06/2022;JAP;4649;0.2968468;1309.73;1;24/06/2022;4595;JAP;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;6;1;7;4;0;1;0;0;1;C
BG/R;17;3;1;289;2;28/06/2022;JAP;579;0.09981168;638.95;4;22/06/2022;4498;MG;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;6;2;8;25;8;0;0;0;1;C
G/RR;14;3;1;375;4;30/06/2022;MG;529;0.04693487;712.35;1;24/06/2022;4594;JAP;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;2;4;6;21;2;0;0;0;0;C
GB/B;15;3;1;178;3;29/06/2022;MG;971;0.2941712;1568.2;4;23/06/2022;4505;MG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;13;3;16;2;1;0;0;0;0;C
GR/G;13;3;1;89;2;28/06/2022;JAP;578;0.2955134;1579.21;3;22/06/2022;4582;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;4;2;6;8;1;0;0;0;1;C
B/RB;16;3;2;107;3;05/07/2022;MG;1011;0.2280872;547.65;4;02/07/2022;4538;MG;2.4;2.0;2.6;2.4;51.1;52.3;54.3;52.4;44.0;43.4;43.6;45.0;22;14;15;29;8;1;0;0;0;1;C
B/RR;18;3;2;72;2;06/07/2022;JAP;633;0.247366;618.5;1;03/07/2022;5;JAP;2.8;2.8;2.9;2.8;57.8;57.3;58.4;58.2;46.4;47.4;46.6;48.3;2;6;1;7;4;0;1;0;0;1;C
BG/R;17;3;2;248;4;04/07/2022;MG;4556;0.2652778;462.67;4;01/07/2022;4537;MG;2.3;3.3;2.3;2.2;53.0;54.4;54.3;55.0;43.2;44.4;43.7;44.9;0;6;2;8;25;8;0;0;0;1;C
G/RR;14;3;2;258;1;06/07/2022;JAP;4674;0.1192118;661.2;4;03/07/2022;4550;MG;2.3;2.3;2.7;2.8;55.9;55.7;56.6;59.4;45.0;44.5;44.2;46.4;2;2;4;6;21;2;0;0;0;0;C
GB/B;15;3;2;281;1;05/07/2022;JAP;4657;0.2853107;1032.84;4;02/07/2022;4539;MG;2.4;1.8;2.1;1.9;52.8;53.7;54.7;54.2;42.5;44.1;43.2;45.0;5;13;3;16;2;1;0;0;0;0;C
GR/G;13;3;2;35;3;04/07/2022;MG;1007;0.37572;1097.23;3;01/07/2022;988;MG;2.2;2.6;2.0;1.9;51.1;53.3;52.1;54.4;43.1;43.7;41.8;41.9;0;4;2;6;8;1;0;0;0;1;C
BG/G;20;4;1;117;1;01/07/2022;JAP;11;0.2277359;955.86;4;22/06/2022;4497;MG;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;49;10;59;4;4;0;0;0;0;C
GB/G;22;4;1;183;3;28/06/2022;MG;966;0.1231481;415.31;4;22/06/2022;4499;MG;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;9;4;13;6;4;0;0;0;1;C
GG/G;24;4;1;225;1;29/06/2022;JAP;4632;0.3528904;1370.08;3;23/06/2022;953;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;2;3;5;23;6;0;0;0;0;C
GG/R;21;4;1;310;3;30/06/2022;MG;977;0.2228353;871.19;2;24/06/2022;1;JAP;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;8;1;9;14;3;0;0;0;0;C
GR/R;19;4;1;427;3;30/06/2022;MG;979;0.2008197;1008.28;4;24/06/2022;4509;MG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;4;1;5;15;0;0;0;0;0;C
R/RR;23;4;1;322;3;29/06/2022;MG;973;0.3218292;1042.74;2;23/06/2022;571;JAP;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;6;8;14;36;11;0;0;0;0;C
BG/G;20;4;2;139;1;06/07/2022;JAP;4673;0.3111111;756.46;3;02/07/2022;990;MG;2.1;2.5;2.0;1.9;52.4;53.6;52.6;53.4;43.1;43.4;42.6;41.1;23;49;10;59;4;4;0;0;0;0;C
GB/G;22;4;2;713;2;04/07/2022;JAP;611;0.1675774;501.71;3;01/07/2022;987;MG;1.7;2.1;1.8;1.6;46.5;45.8;50.0;50.7;43.3;40.1;41.9;43.3;6;9;4;13;6;4;0;0;0;1;C
GG/G;24;4;2;57;3;05/07/2022;MG;1013;0.2968614;638.67;3;02/07/2022;991;MG;2.1;2.5;2.6;2.6;54.2;54.4;55.5;57.7;43.0;44.1;44.6;45.9;0;2;3;5;23;6;0;0;0;0;C
GG/R;21;4;2;479;3;05/07/2022;MG;1012;0.2527778;594.2;3;03/07/2022;1003;MG;2.1;2.1;2.2;2.2;50.0;49.9;51.9;54.3;41.9;43.1;42.4;43.4;5;8;1;9;14;3;0;0;0;0;C
GR/R;19;4;2;122;4;06/07/2022;MG;4568;0.2581967 ;767.84;4;03/07/2022;4551;MG;1.5;1.9;1.8;1.7;47.2;48.6;50.0;50.6;38.5;42.0;39.1;39.9;1;4;1;5;15;0;0;0;0;0;C
R/RR;23;4;2;68;1;04/07/2022;JAP;1;0.2609277;602.03;1;02/07/2022;13;JAP;1.6;1.7;1.7;1.6;47.8;47.5;48.6;48.6;40.8;38.2;39.1;39.4;2;6;8;14;36;11;0;0;0;0;C
B/BB;25;5;1;234;4;29/06/2022;MG;522;0.2346851;1199.58;3;23/06/2022;954;MG;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;6;3;9;4;1;1;0;0;0;C
B/BR;28;5;1;275;3;28/06/2022;MG;965;0.1935484;666.86;1;22/06/2022;946;JAP;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;6;3;9;2;8;0;0;2;1;C
B/RG;29;5;1;37;1;29/06/2022;JAP;4633;0.2225225;697.01;4;23/06/2022;4503;MG;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;4;1;5;4;0;0;0;1;0;C
G/BG;30;5;1;174;1;30/06/2022;JAP;4647;0.2747748;1140.55;1;24/06/2022;4593;JAP;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;3;1;4;4;1;0;0;0;0;C
G/BR;27;5;1;180;1;30/06/2022;JAP;4648;0.2828829;725.64;3;24/06/2022;958;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;14;4;18;0;2;0;0;0;0;C
G/RB;26;5;1;31;3;28/06/2022;MG;964;0.2313243;1545.76;2;22/06/2022;563;JAP;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;4;3;7;7;4;0;0;2;0;C
B/BB;25;5;2;127;4;05/07/2022;MG;4560;0.2234685 ;996.02;1;02/07/2022;11;JAP;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;6;3;9;4;1;1;0;0;0;C
B/BR;28;5;2;117;2;04/07/2022;JAP;612;0.2364865;779.23;4;01/07/2022;4536;MG;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;6;3;9;2;8;0;0;2;1;C
B/RG;29;5;2;69;2;05/07/2022;JAP;617;0.3229951;762.34;2;02/07/2022;595;JAP;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;4;1;5;4;0;0;0;1;0;C
G/BG;30;5;2;33;2;06/07/2022;JAP;635;0.3338075;511.82;2;03/07/2022;610;JAP;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;3;1;4;4;1;0;0;0;0;C
G/BR;27;5;2;197;3;06/07/2022;MG;1017;0.2437174;447.82;3;03/07/2022;1004;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;14;4;18;0;2;0;0;0;0;C
G/RB;26;5;2;55;2;04/07/2022;JAP;613;0.262309;1120.79;3;02/07/2022;992;MG;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;4;3;7;7;4;0;0;2;0;C
B/BG;33;6;1;289;2;30/06/2022;JAP;12;0.2822581;1155.3;3;24/06/2022;960;MG;2.6;2.7;3.0;3.0;56.4;54.1;57.9;57.6;47.2;49.1;46.0;47.4;4;6;11;17;6;4;0;0;0;0;C
G/GG;31;6;1;185;4;29/06/2022;MG;523;0.3841382;1285.91;3;23/06/2022;952;MG;2.6;2.5;3.2;3.1;55.6;57.9;59.0;57.5;44.1;46.6;47.1;50.0;8;8;11;19;5;2;0;0;0;0;C
R/BG;35;6;1;89;1;28/06/2022;JAP;4618;0.08522167;439.98;3;22/06/2022;4583;MG;2.3;3.1;2.5;2.3;53.4;53.0;54.7;54.6;43.3;45.5;43.5;44.2;11;6;6;12;8;4;0;0;0;0;C
R/BR;36;6;1;36;2;30/06/2022;JAP;13;0.2615519;1792.04;4;24/06/2022;4511;MG;2.3;2.2;2.0;2.0;53.1;51.2;51.6;52.2;43.4;43.1;43.6;43.9;0;2;2;4;26;10;0;0;0;1;C
R/RB;32;6;1;96;2;29/06/2022;JAP;582;0.328755;1610.36;2;23/06/2022;572;JAP;2.2;1.9;1.8;1.8;53.8;52.4;51.2;50.9;44.0;42.4;41.0;41.5;0;5;2;7;29;18;0;0;0;0;C
R/RG;34;6;1;123;3;01/07/2022;MG;983;0.2413024;767.99;3;22/06/2022;4581;MG;2.1;1.8;1.9;1.9;51.8;50.4;52.6;52.4;44.9;44.2;43.2;43.2;0;0;1;1;9;8;1;0;0;1;C
B/BG;33;6;2;73;2;05/07/2022;JAP;619;0.3481982;744.95;1;03/07/2022;7;JAP;2.6;2.7;3.0;3.0;56.4;54.1;57.9;57.6;47.2;49.1;46.0;47.4;4;6;11;17;6;4;0;0;0;0;C
G/GG;31;6;2;115;2;05/07/2022;JAP;618;0.2421185;883.17;1;02/07/2022;12;JAP;2.6;2.5;3.2;3.1;55.6;57.9;59.0;57.5;44.1;46.6;47.1;50.0;8;8;11;19;5;2;0;0;0;0;C
R/BG;35;6;2;157;4;04/07/2022;MG;4555;0.2597343;544.21;4;02/07/2022;4540;MG;2.3;3.1;2.5;2.3;53.4;53.0;54.7;54.6;43.3;45.5;43.5;44.2;11;6;6;12;8;4;0;0;0;0;C
R/BR;36;6;2;18;4;06/07/2022;MG;4566;0.3545045;941.9;3;03/07/2022;1001;MG;2.3;2.2;2.0;2.0;53.1;51.2;51.6;52.2;43.4;43.1;43.6;43.9;0;2;2;4;26;10;0;0;0;1;C
R/RB;32;6;2;175;1;04/07/2022;JAP;2;0.3671171;766.86;2;02/07/2022;597;JAP;2.2;1.9;1.8;1.8;53.8;52.4;51.2;50.9;44.0;42.4;41.0;41.5;0;5;2;7;29;18;0;0;0;0;C
R/RG;34;6;2;82;3;06/07/2022;MG;1019;0.1397757;618.82;1;02/07/2022;14;JAP;2.1;1.8;1.9;1.9;51.8;50.4;52.6;52.4;44.9;44.2;43.2;43.2;0;0;1;1;9;8;1;0;0;1;C
B/GB;37;7;1;169;3;01/07/2022;MG;985;0.1148649;476.78;3;22/06/2022;4586;MG;1.8;1.9;1.6;1.7;50.5;51.5;50.0;50.4;42.9;41.0;39.8;41.4;0;6;3;9;8;8;0;2;6;0;C
G/GB;38;7;1;310;2;29/06/2022;JAP;585;0.1937015;732.63;1;23/06/2022;4592;JAP;2.1;2.3;2.5;2.6;53.5;53.1;56.1;55.6;44.9;43.4;44.6;45.2;2;7;0;7;1;2;0;0;4;0;C
OG/B;42;7;1;127;1;30/06/2022;JAP;16;0.2750424;1388.8;4;24/06/2022;4513;MG;2.1;2.7;2.2;2.3;50.3;50.4;51.7;53.9;41.1;43.1;41.8;44.6;14;6;5;11;0;8;0;0;6;1;C
OG/G;40;7;1;662;4;30/06/2022;MG;532;0.1271186;293.83;3;24/06/2022;963;MG;1.8;1.7;1.8;1.8;51.6;48.8;50.5;51.2;40.5;41.0;40.1;40.2;4;2;3;5;1;2;0;0;2;1;C
OO/B;39;7;1;83;2;01/07/2022;JAP;590;0.2895238;613.28;3;22/06/2022;4584;MG;1.8;2.0;1.8;1.9;49.0;50.5;51.5;49.0;40.1;42.1;39.1;41.8;4;9;4;13;0;3;0;0;3;1;C
R/GB;41;7;1;414;1;29/06/2022;JAP;2;0.2007089;621.97;4;23/06/2022;4508;MG;1.8;1.8;2.0;2.2;51.7;50.0;51.8;53.2;42.8;41.1;41.6;42.6;0;9;6;15;2;4;0;0;0;0;C
B/GB;37;7;2;87;4;06/07/2022;MG;4571;0.3148148;431.65;4;02/07/2022;4543;MG;1.8;1.9;1.6;1.7;50.5;51.5;50.0;50.4;42.9;41.0;39.8;41.4;0;6;3;9;8;8;0;2;6;0;C
G/GB;38;7;2;76;3;04/07/2022;MG;1009;0.2981982;435.74;1;02/07/2022;18;JAP;2.1;2.3;2.5;2.6;53.5;53.1;56.1;55.6;44.9;43.4;44.6;45.2;2;7;0;7;1;2;0;0;4;0;C
OG/B;42;7;2;378;2;05/07/2022;JAP;622;0.311956;893.12;2;03/07/2022;605;JAP;2.1;2.7;2.2;2.3;50.3;50.4;51.7;53.9;41.1;43.1;41.8;44.6;14;6;5;11;0;8;0;0;6;1;C
OG/G;40;7;2;743;4;05/07/2022;MG;4565;0.1699074;616.19;4;03/07/2022;4549;MG;1.8;1.7;1.8;1.8;51.6;48.8;50.5;51.2;40.5;41.0;40.1;40.2;4;2;3;5;1;2;0;0;2;1;C
OO/B;39;7;2;28;1;06/07/2022;JAP;4676;0.3394539;809.29;2;02/07/2022;599;JAP;1.8;2.0;1.8;1.9;49.0;50.5;51.5;49.0;40.1;42.1;39.1;41.8;4;9;4;13;0;3;0;0;3;1;C
R/GB;41;7;2;74;2;04/07/2022;JAP;614;0.2564815;406.79;1;02/07/2022;16;JAP;1.8;1.8;2.0;2.2;51.7;50.0;51.8;53.2;42.8;41.1;41.6;42.6;0;9;6;15;2;4;0;0;0;0;C
OB/O;44;8;1;319;2;01/07/2022;JAP;589;0.2290651 ;870.74;2;22/06/2022;567;JAP;2.3;2.8;2.7;3.1;56.1;56.0;55.8;56.2;47.2;46.1;44.9;46.8;4;4;2;6;3;2;0;0;1;1;C
OG/O;46;8;1;44;2;30/06/2022;JAP;586;0.2139776;1124.12;3;24/06/2022;961;MG;2.3;2.2;2.3;2.3;53.2;53.3;53.9;53.9;45.8;44.1;43.2;45.1;6;16;14;30;1;6;0;0;0;1;C
OO/G;43;8;1;125;4;28/06/2022;MG;13;0.2516615;859.44;2;22/06/2022;568;JAP;2.2;2.4;2.3;2.2;50.5;52.6;54.1;53.3;43.4;43.3;42.8;44.5;4;5;4;9;0;2;0;0;0;1;C
OO/O;45;8;1;136;3;30/06/2022;MG;981;0.2240437;1512.87;1;24/06/2022;5;JAP;3.2;3.1;3.8;4.1;59.4;61.3;63.1;66.1;50.5;48.8;51.3;51.5;2;5;1;6;2;6;0;0;1;0;C
R/GG;47;8;1;30;3;29/06/2022;MG;974;0.2222222;899.2;4;23/06/2022;4506;MG;2.9;2.7;2.9;2.9;56.8;58.6;58.3;59.0;45.9;47.8;46.7;46.5;0;6;0;6;4;2;0;0;4;1;C
R/GR;48;8;1;227;2;29/06/2022;JAP;584;0.3777589;1421.29;2;23/06/2022;1;JAP;2.3;1.8;2.2;2.7;51.5;53.2;54.1;54.2;44.1;43.2;43.3;44.1;2;2;2;4;3;0;0;0;4;0;C
OB/O;44;8;2;281;2;06/07/2022;JAP;638;0.2893221;778.71;2;02/07/2022;600;JAP;2.3;2.8;2.7;3.1;56.1;56.0;55.8;56.2;47.2;46.1;44.9;46.8;4;4;2;6;3;2;0;0;1;1;C
OG/O;46;8;2;69;1;05/07/2022;JAP;4660;0.2800546;725.2;4;03/07/2022;4546;MG;2.3;2.2;2.3;2.3;53.2;53.3;53.9;53.9;45.8;44.1;43.2;45.1;6;16;14;30;1;6;0;0;0;1;C
OO/G;43;8;2;65;1;04/07/2022;JAP;5;0.3747748;702.3;4;02/07/2022;4545;MG;2.2;2.4;2.3;2.2;50.5;52.6;54.1;53.3;43.4;43.3;42.8;44.5;4;5;4;9;0;2;0;0;0;1;C
OO/O;45;8;2;40;1;06/07/2022;JAP;4677;0.2729287;813.04;4;03/07/2022;4548;MG;3.2;3.1;3.8;4.1;59.4;61.3;63.1;66.1;50.5;48.8;51.3;51.5;2;5;1;6;2;6;0;0;1;0;C
R/GG;47;8;2;91;3;05/07/2022;MG;1014;0.3498117;819.51;4;02/07/2022;4542;MG;2.9;2.7;2.9;2.9;56.8;58.6;58.3;59.0;45.9;47.8;46.7;46.5;0;6;0;6;4;2;0;0;4;1;C
R/GR;48;8;2;189;4;04/07/2022;MG;4559;0.3177388;835.51;3;02/07/2022;993;MG;2.3;1.8;2.2;2.7;51.5;53.2;54.1;54.2;44.1;43.2;43.3;44.1;2;2;2;4;3;0;0;0;4;0;C
B/OB;52;9;1;224;2;28/06/2022;JAP;580;0.2986265;1094.83;2;22/06/2022;566;JAP;1.9;2.1;2.2;2.1;51.1;51.2;54.3;54.2;43.4;42.1;43.2;44.3;2;2;2;4;1;4;0;0;0;1;C
BB/O;50;9;1;423;3;30/06/2022;MG;982;0.1781125 ;970.7;4;24/06/2022;4512;MG;1.8;1.6;1.8;1.9;46.4;49.5;50.0;50.5;41.1;40.8;42.0;42.4;0;6;1;7;4;4;0;0;44;1;C
G/OG;53;9;1;231;3;28/06/2022;MG;967;0.2790309;961.25;1;22/06/2022;949;JAP;2.0;1.8;2.4;2.5;52.0;53.3;56.0;56.4;42.5;43.4;46.2;45.9;2;8;4;12;2;4;0;0;0;0;C
GO/B;49;9;1;270;4;29/06/2022;MG;525;0.2928666;972.81;2;23/06/2022;2;JAP;1.8;1.9;2.2;1.9;49.5;49.1;51.9;53.1;41.2;41.6;43.8;43.4;20;30;8;38;0;4;0;0;0;0;C
O/GO;54;9;1;190;2;30/06/2022;JAP;587;0.2698198;542.54;2;24/06/2022;575;JAP;1.2;1.2;1.8;1.8;44.4;46.0;49.3;49.0;38.8;37.9;39.1;40.4;22;18;5;23;0;8;0;0;0;1;C
O/OB;51;9;1;194;1;29/06/2022;JAP;4634;0.1879699;1270.69;3;23/06/2022;957;MG;1.5;1.8;1.8;1.8;46.7;47.7;52.3;49.8;40.9;42.0;41.0;41.9;16;14;9;23;4;2;0;0;0;1;C
B/OB;52;9;2;69;3;04/07/2022;MG;1008;0.2905282;732.35;4;02/07/2022;4544;MG;1.9;2.1;2.2;2.1;51.1;51.2;54.3;54.2;43.4;42.1;43.2;44.3;2;2;2;4;1;4;0;0;0;1;C
BB/O;50;9;2;134;1;06/07/2022;JAP;4678;0.2304189;877.46;3;03/07/2022;997;MG;1.8;1.6;1.8;1.9;46.4;49.5;50.0;50.5;41.1;40.8;42.0;42.4;0;6;1;7;4;4;0;0;44;1;C
G/OG;53;9;2;9;2;04/07/2022;JAP;616;0.2235043;567.13;1;02/07/2022;15;JAP;2.0;1.8;2.4;2.5;52.0;53.3;56.0;56.4;42.5;43.4;46.2;45.9;2;8;4;12;2;4;0;0;0;0;C
GO/B;49;9;2;89;3;05/07/2022;MG;1015;0.3537021;572.49;2;03/07/2022;604;JAP;1.8;1.9;2.2;1.9;49.5;49.1;51.9;53.1;41.2;41.6;43.8;43.4;20;30;8;38;0;4;0;0;0;0;C
O/GO;54;9;2;187;3;06/07/2022;MG;1023;0.3591954;543.52;2;03/07/2022;603;JAP;1.2;1.2;1.8;1.8;44.4;46.0;49.3;49.0;38.8;37.9;39.1;40.4;22;18;5;23;0;8;0;0;0;1;C
O/OB;51;9;2;54;1;05/07/2022;JAP;4659;0.2925959;689.25;3;03/07/2022;999;MG;1.5;1.8;1.8;1.8;46.7;47.7;52.3;49.8;40.9;42.0;41.0;41.9;16;14;9;23;4;2;0;0;0;1;C
B/OO;56;10;1;658;2;01/07/2022;JAP;591;0.3593265;1383.25;4;22/06/2022;4500;MG;2.3;2.7;3.0;3.0;55.5;55.9;56.5;59.1;45.8;45.7;46.6;46.4;2;14;10;24;4;6;0;0;24;1;C
BO/G;55;10;1;75;4;30/06/2022;MG;531;0.3324926;1338.88;1;24/06/2022;4;JAP;2.4;2.2;2.7;2.8;55.8;56.1;59.1;56.8;46.6;45.6;47.0;48.4;4;6;0;6;19;10;0;0;0;1;C
