"ID_fish","trial","cage","treatment","exploration","log_boldness","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_ces","BS_pre","BS_post_tot","dens_bs2","name","body_condition","z_bc","z_ces","z_bs2","z_dens"
"B/RR",3,"3","E",0.3278689,1.31689607149249,0.432653993592206,1.31689607149249,0.432653993592207,0.610332726708911,3.22812051649928,1.43472022955524,2,7,1.79340028694405,"fulton3",0.0285390451689286,0.750750214041211,-0.63204974872814,-0.640844400613254,-0.820370116684631
"B/RR",4,"3","E",0.2643369,-0.0244382254534814,-1.63435440476716,-0.024438225453481,-1.63435440476715,-0.292607476503607,3.22812051649928,1.43472022955524,2,7,1.79340028694405,"fulton4",0.02474294428275,-0.79232438820242,-0.63204974872814,-0.640844400613254,-0.820370116684631
"BB/B",3,"2","E",0.3380594,1.51007879585855,-0.143152653834524,1.51007879585855,-0.143152653834524,0.755163869138508,10.5095541401274,6.36942675159236,4,17,4.14012738853503,"fulton3",0.0256114318301784,-0.439293444878178,0.263812893593426,-0.0101109822738376,0.197970850519022
"BB/B",4,"2","E",0.3093137,-1.65544325736797,-1.25203628326047,-1.65544325736797,-1.25203628326047,0.346619384477454,10.5095541401274,6.36942675159236,4,17,4.14012738853503,"fulton4",0.0258889270214645,-0.326494603446603,0.263812893593426,-0.0101109822738376,0.197970850519022
"BB/G",3,"2","E",0.3635982,-0.0930891603994867,-1.24005304204584,-0.0930891603994863,-1.24005304204584,1.11813070886973,22.5781715941041,8.09406151486751,28,62,14.4841100792366,"fulton3",0.0275022326919923,0.329296978624106,0.576908687470442,2.77005700459041,1.88582082706935
"BB/G",4,"2","E",0.2702703,-0.410653798218626,-1.37703022802161,-0.410653798218625,-1.37703022802161,-0.208279808529339,22.5781715941041,8.09406151486751,28,62,14.4841100792366,"fulton4",0.0231968679465177,-1.4207879615116,0.576908687470442,2.77005700459041,1.88582082706935
"BB/O",3,"9","E",0.2105263,-1.07634488632528,0.508602422237346,-1.07634488632527,0.508602422237346,-1.05738355940651,29.8783137766189,26.0756192959583,0,7,3.80269448066058,"fulton3",0.0234963826800561,-1.29903841054376,3.84133906339802,-0.100803339003161,2.90677826967283
"BB/O",4,"9","E",0.3221326,-0.0244382254534814,0.631605725319758,-0.024438225453481,0.631605725319759,0.52880631658979,29.8783137766189,26.0756192959583,0,7,3.80269448066058,"fulton4",0.0241495496282166,-1.03353299881956,3.84133906339802,-0.100803339003161,2.90677826967283
"BB/R",3,"1","E",0.2866637,1.559414912716,0.394631843731663,1.559414912716,0.394631843731663,0.024709235217813,5.67437800087298,1.3094718463553,4,14,4.36490615451768,"fulton3",0.0288482922004063,0.876455840524929,-0.654787746827708,0.0503031491103507,-0.478250097272157
"BB/R",4,"1","E",0.3638434,-0.288505285451468,-0.839968760119406,-0.288505285451468,-0.839968760119406,1.12161558165553,5.67437800087298,1.3094718463553,4,14,4.36490615451768,"fulton4",0.0258238216153976,-0.352959257991578,-0.654787746827708,0.0503031491103507,-0.478250097272157
